id;external_id;email;status
1;Monaco partnerships extend;Gaspar.Moreau@yahoo.fr;Plastic program payment
2;Frozen magnetic card;Prudence1@gmail.com;compress infrastructure
3;microchip;Audouin19@yahoo.fr;Executif
4;Towels visionary lavender;ric.Dasilva@hotmail.fr;Practical synthesize Ball
5;magenta Loan;Adalric50@gmail.com;leverage index intuitive
6;IB Fresh;Normand.Vincent60@gmail.com;Haute-Normandie
7;Computer;Amthyste.Jean8@gmail.com;mobile b Tugrik
8;Awesome Midi-Pyrénées scale;Amlien49@hotmail.fr;Rand Canada Solomon
9;Buckinghamshire matrix;velyne.Renaud17@gmail.com;structure
10;matrix b;Quentine_Duval@hotmail.fr;Ouzbékistan Dollar Pizza
