id;name;iban;bic;account_owner
1;Namibie;BG35PUJV45379400K145F4;UAIIMYV1;a Ergonomic
2;b;XK750012841000092058;MVDAVIG1761;Grocery
3;Concrete Dollar;SM81J5760434815400299326349;YYIIMWB1191;integrated Account de
4;PNG a de;KW54JQTRP90205MS0332U498934156;EHDEZWV1VOK;synergy
5;Saint-Marin overriding blue;IT62B6268520076666512SR1688;BQCIJPX1224;connecting
6;cross-media revolutionary pricing;SE5615405532049009300087;BDXOPMW1454;Account partnerships matrix
7;Géorgie Berkshire;TR651511940020710070448483;ICKUNLT1;Franc
8;target architectures Won;IT17D678600403841M583249K8X;LCXOGTP1059;Platinum Chair
9;Avon de initiative;IS953040087138300530050096;IOBOFIS1;Botswana
10;b;RO12SZXL3582679L37K584W3;EFPUTKQ1108;c indexing transmit
