id;external_id;name;is_my_own_iban;masked_iban
1;Du;payment;true;Checking
2;value-added transmitter;Metal utilisation;false;communities generating
3;Marshall Tuna;Salad;true;web-enabled transmitting
4;indigo;Saint-Bernard;true;Implemented HDD
5;Computer b;AI;false;Account gold
6;info-mediaries d'Azur Games;web-readiness Automotive b;true;Bahraini
7;logistical;Avon Administrateur;true;cross-platform Computer
8;calculating;experiences c;true;circuit deposit
9;a open-source;Bedfordshire;false;Market ROI mobile
10;Salad IB;iterate embrace;false;generate synergize
